mem_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mem_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mem_04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mem_05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mem_06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mem_07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mem_08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mem_09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mem_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mem_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mem_12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mem_13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mem_14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mem_15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mem_16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kid_count,,,,,,,,,,,,,,,
0.0,2,19,26,21,17,25,16,29,9,12,7,8,4,0,1
0.5,385,432,258,233,164,164,161,73,1,4,1,1,0,0,0
1.0,368,1096,1087,964,861,928,757,525,121,134,58,45,29,15,5
2.0,140,364,423,492,591,757,797,584,129,172,114,85,60,40,9
3.0,23,53,71,75,65,104,118,77,16,30,19,22,4,9,1
4.0,4,9,7,10,8,10,9,12,2,4,3,2,0,1,0
