join_year,1,2,3,4,5,6,7,8,9,10,11,12
2002,0,0,0,0,0,0,1,4,2,5,1,3
2003,1,1,6,9,4,4,4,6,7,7,10,6
2004,6,5,12,12,10,9,4,6,12,4,9,8
2005,10,8,14,11,20,17,10,18,18,12,16,9
2006,21,17,16,23,11,24,17,11,21,15,12,14
2007,22,19,18,149,14,10,29,22,16,31,17,9
2008,36,16,26,17,21,23,29,16,24,32,18,20
2009,32,24,21,28,26,253,189,172,197,143,117,98
2010,183,156,149,165,169,172,154,175,145,153,130,107
2011,180,151,193,172,162,182,192,191,173,147,131,114
2012,194,129,150,149,147,156,167,147,131,131,103,102
2013,171,144,120,126,164,171,181,172,167,140,136,103
2014,189,142,164,133,142,154,201,188,156,173,115,115
2015,205,154,165,157,136,179,193,198,178,164,112,132
2016,93,17,55,125,148,167,149,26,13,47,82,0
